AT,RH,WS,WD,RF,PM10,NO,NOx,SO2,NO2,PM 2.5
33.8,0.51,1.12,167.34,0,177.8,5.32,21.15,12.83,31.6,62.34
34.47,0.55,1.46,125.72,0,180.2,3.13,16.5,16.55,26.21,61.59
34.3,0.5,1.8,227.05,0,144.1,1.45,10.72,13.68,17.94,38.94
30.87,0.51,1.74,207.92,0,95.87,1.57,10.45,12.31,17.24,27.82
33.33,0.52,1.05,146.02,0,138.71,1.72,11.67,16.18,19.3,61.92
35.12,5.67,1.51,93.4,0,188.92,2.74,13.44,16.76,21.07,91.83
33.85,0.53,1.78,104.57,0,231.26,8.06,21.43,13.01,27.94,59.71
34.58,0.54,1.67,81.89,0,244.93,10.29,21.53,12.41,24.69,58.02
36.65,0.55,1.45,109.23,0,286.86,5.61,17.49,9.98,24.28,51.18
36.32,0.54,2.04,109.04,0,254.6,8.97,16.91,9.91,18.03,61.14
35.59,0.68,1.21,112.15,0,197.1,2.42,11.75,11.48,18.38,55.23
34.33,0.53,1.98,128.44,0,232.04,2.35,10.02,12.28,15.23,62.32
34.74,0.51,1.54,254.43,0,135.67,2.18,13.43,11.62,21.89,37.29
30.57,41.14,1.96,209.88,0.09,80.04,3.47,13.29,8.43,19.67,35
29.65,41.08,1.72,180.03,0,106.38,6.88,19.98,15.98,27.02,58.29
30.88,39.31,1.42,241.87,0,100,8.99,21.01,11.47,25.71,42.52
,0.51,1.45,202.92,0,150.19,2.46,20.49,10.06,34.76,47.96
33.95,23.34,1.57,240.68,0.14,119.08,5.2,17.92,8.99,25.72,44.58
30.56,24.51,1.46,153.76,0,206.59,4.34,15.15,9.37,21.82,73.83
32.84,14.15,1.78,170.71,0,272.47,4.75,13.44,7.87,17.99,74.08
33.27,22.32,1.53,128.36,0,268.14,5.13,14.42,9.23,19.26,94.08
33.83,0.54,2.18,153.99,0,306.84,2.9,10.14,8.57,14.6,65.6
34.52,0.51,1.9,298.18,0,277.72,8.26,22.97,9.68,30.54,67.08
31.59,40.12,1.78,197.91,0.31,156.31,4.37,16.85,8.99,24.98,45.24
28.94,48.42,2.07,166.1,0.01,71.03,2.52,10.34,8.91,15.57,27.5
27.3,69.29,1.29,134.09,0.39,58.59,2.92,13.81,7.56,21.49,30.96
26.76,65.68,1.15,263.56,0.1,82.89,18.59,34.28,7.31,35.95,28.85
27.33,32.61,1.02,188.33,0,174.21,37.87,47.89,10.35,31.97,61.5
30.97,37.4,1.36,206.37,0.02,117.88,5.3,20.9,7.62,31.17,46.71
30.65,63.68,1.21,212.29,0,127.5,18.26,31.93,9.06,32.05,53.42
30.04,60.41,1.14,174.69,0,153.25,17.91,28.78,9.56,26.67,80.65
30.54,38.01,0.89,159.56,0,185.12,19.4,35.51,11.49,37.03,109.92
32.86,59.6,1.4,199.78,0,151.69,23.13,38.54,8.34,37,64.37
31.31,74.99,1.37,197.93,0,77.11,5.49,17.97,7.93,25.36,33.4
28.18,81.02,1.5,193.34,0,81.26,4.24,12.97,8.79,17.88,36.81
28.05,88.96,1.21,193.17,0,57.54,3.55,13.91,9.13,20.7,38.14
27.81,52.55,1.51,224.03,0,52.88,3.79,13.32,10.5,19.23,23.35
29.84,30.38,1.3,209.23,0,87.65,3.68,13.48,10.48,19.69,38.39
31.44,20.32,1.3,177.35,0,87.49,2.96,11.68,10.06,17.42,32.43
30.69,3.81,1.35,190.39,0,91.94,2.85,11.88,10.17,17.95,34.07
31.02,1.61,1.34,233.76,0,94.15,3.01,14.09,10.22,21.88,35.04
32.16,28.97,1.59,192.73,0,81.51,3.48,13.32,7.38,19.69,28.28
30.41,83.4,1.12,174.39,0,105.27,5.31,16.89,10.79,23.61,46.16
29.08,62.87,1.07,186.33,0,99.89,8.01,19.3,10.77,24,39.27
30.22,66.02,1.14,233.32,0,123.99,17.5,30.89,11.57,31.23,46.31
30.47,91.44,1.26,216.91,0.6,55.22,8.61,20.07,8.47,24.53,22.71
27.86,41.42,1.04,153.35,0,88.5,7.81,16.53,9.51,19.09,34.33
30.01,30.77,0.96,193.54,0,118.25,6,16.1,12.93,21.07,45.21
32.64,0.5,2.14,200.62,0,76.58,2.25,8.56,9.26,12.65,20.71
31.55,33.48,2.03,244.47,0,53.17,2.8,11.52,8.35,17.34,15.67
30.38,21.19,1.62,273.84,0,62.29,3.43,13.16,8.52,19.48,23
32.1,21.25,1.34,258.66,0,44.67,7.79,18.3,6.98,22.47,14.83
30.91,68.96,1.72,151.84,0.04,50.21,11.38,19.73,7.25,19.65,17.79
29.81,73.11,1.09,138.12,0.06,54.18,11.25,21.33,7.13,22.88,31.31
29.47,72.68,1.56,154.54,0.15,50.54,4.78,10.25,7.66,11.96,20.71
30.71,72.61,1.74,202.3,0.03,44.62,2.26,8.29,7.37,12.11,15.38
29.65,82.55,2.38,247.46,0.09,21.04,4.66,11.12,6.97,13.77,9.67
27.3,84.13,1.4,176.41,0.85,22.62,5.14,12.02,6.33,14.72,12.3
26.84,76.99,1.1,105.49,0,82.11,19.89,27.03,7.32,20.33,37.03
29.3,75.24,1.69,83.15,0,71.71,12.76,18.14,6.38,14.54,31.33
29.7,73.16,1.62,107.74,0,116.88,12.87,22.18,6.98,21.99,40
30.46,75.48,1.17,172.45,0.11,126.33,24.78,36.32,7.38,30.29,45.62
29.1,73.38,0.93,197.14,0,123.17,52.44,56.48,6.93,25.78,43
30.39,77.28,1.1,197.15,0,138.38,64.81,66.81,7.96,26.25,57.83
29.46,79.6,1.13,209.38,0.4,68.12,5.07,14.43,7.35,19.37,39
28.07,72.63,1.2,192.15,0.01,87.04,7.36,15.69,8.76,18.22,39.18
30.34,71.3,0.8,164.83,0,116.44,18.64,24.5,10.38,17.5,50.62
31.21,61.54,1.16,193.55,0,86.07,3.44,12.76,9.48,18.72,31.58
34.37,65.9,1.47,247.29,0,86.38,4.42,14.43,9.52,20.37,29.92
32.8,70.39,0.91,160.12,0,99.62,10.4,20.59,11.09,22.77,45.92
32.22,70.73,0.97,228.73,0,121.75,11.81,24.85,8.71,28.62,56.5
32.06,75.41,1.41,216.86,0.05,76.71,4.79,13.34,8.14,17.74,30.17
29.35,70.56,0.96,161.63,,77.29,5.3,12.45,8.82,15.28,32.42
31.26,70.85,0.9,125.49,0.01,94.33,9.17,17.25,8.38,18.38,43
32.42,70.7,1.15,177.12,0.01,137.12,8.41,19.73,10.94,24.2,58.21
32.24,67.3,1.18,220.49,0,96,3.76,13.18,13.64,19.03,35.25
32.53,67.25,1.28,231.56,0,102.46,6.04,15.15,11.8,19.23,39.42
32.72,70.04,1.41,239.26,0,86.2,7.98,17.4,10.84,20.49,34.93
31.86,68.1,1.39,135.48,0,67.17,2.8,7.91,10.47,10.55,25.38
32.26,67.29,1.39,90.89,0,90.79,2.51,7.69,8.53,10.59,38.5
32.76,64.15,0.95,77.57,0,104.38,3.58,9.78,8.51,12.89,47.92
33.19,63.96,0.95,209.07,0,134.71,14.37,22.98,10.09,21.19,61.25
33.52,65.44,1.61,264.33,0,113.54,6.18,15.9,11.16,20.41,44.29
33.1,63.54,1.37,243.1,0,79.67,3.97,12.19,11.18,16.84,31.54
33.09,64.79,1.62,207.24,0,60.17,2.36,8.03,11.83,11.45,22.33
32.34,69.92,1.09,210.63,0,66.83,10.66,16,9.47,13.73,31.12
31.45,67.16,1.17,149.96,0,109.96,15.47,20.92,9.58,15.61,51.29
32.34,61.94,1.26,173.87,0,107.42,5.54,14.39,9.37,18.56,47.96
32.72,60.08,1.69,237.21,0,93.29,2.57,11.15,11.29,17.03,30.17
31.94,64.61,1.57,228.65,0,65.71,2.5,9.08,12.74,13.23,17.62
30.69,64.58,1.11,209.26,0,124.96,8.08,15.95,12.21,17.6,49.62
31.15,71.24,1.29,227.2,0.44,90.42,20.02,26.74,9.83,19.58,34.15
30.23,74.64,1.21,234.36,0.06,82.79,19.83,25.58,8.98,17.69,27.33
28.59,69.13,1.12,189.93,0.01,75.12,5.67,12.8,11.12,15.37,31.75
29.81,69.18,1.29,218.33,0,79.06,14.73,21.01,8.89,16.92,25.79
29.98,65.98,1.45,222.67,0,76.07,6.22,13.37,9.36,15.59,21.17
30.66,65.71,1.38,210.17,0,77.08,4.32,10.37,11.18,12.87,25.16
30.86,68.27,1.47,187.75,0,47.29,2.45,6.91,8.02,9.24,10.52
29.83,69.73,1.49,172.02,0,62.81,3.17,8.43,8.74,11,15.41
29.42,70.58,1.47,209.6,0,49.36,3.24,8.55,10.07,11.12,9.79
28.98,69.19,1.39,255.21,0.18,88.23,3.82,11.11,11.25,15.04,32.13
29.44,68.84,1.35,267.98,0,101.42,7.61,15.15,10.18,16.8,37.75
29.79,68.53,0.94,189.53,0,94.38,16.1,20.19,9.36,13.28,34.79
29.75,66.86,0.99,147.35,0.05,137.08,6.31,13.44,10.87,15.59,51.83
29.97,71.06,1.87,116.99,0.01,89.58,6.84,12.86,8.68,13.7,35.17
28.28,65.37,1.71,86.4,0,85.83,6.2,12.82,7.51,14.6,32.87
28.28,65.45,1.54,83.12,0,142.71,3.82,11.92,8,16.54,58.12
28.62,65.07,1.78,70.72,0,130.46,2.15,9.26,7.41,14.11,53.71
28.62,62.31,1.27,73.1,0,106.92,4.34,13.07,8.54,17.93,38.75
28.3,62.56,0.99,168.8,0,174.62,10.41,20.92,11.92,23.37,70.33
28.8,64.4,1.09,94.92,0,202.54,4.38,16.98,11.92,25.21,96.17
28.43,65.2,0.87,107.37,0,188.04,27.77,36.47,10.91,26,91.62
28.38,64.97,1.13,134.37,0,200,21.01,31.51,11.66,27.02,96.42
